shot_id,campaign,postshot_description,shot_objective,heating,plasma_shape,current_range,plasma_max_current,ohmnic_energy_total,nbi_total_injected_energy,thomson_max_outlier,thomson_nan_count_outlier,sxr_max_outlier,magnetics_bfield_probe_mean_outlier,ip_negative,efit_beta_pol_outlier,efit_x_point_outlier
11766,M5,"
GOOD PLASMA, RAN FINE. SL JOINT ALARMS RATHER HIGH
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,500.6307373046875,0.114529859375,,False,False,False,False,False,False,True
11767,M5,"
OK BUT LOST VERTICAL CONTROL - FA2 JUST DIED AWAY. SL JOINT ALARMS A BIT LOWER.
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,508.3963623046875,0.13456636146310635,,False,False,False,False,False,False,True
11768,M5,"
OK. GOT FA4 BUT NOT FA3
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,504.40625,0.129431921875,,False,False,False,False,False,False,True
11769,M5,"
SLIDING JOINT ALARMS A BIT LOWER. PLASMA OK.
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,543.6172485351562,0.156507671875,,False,False,False,False,False,False,True
11771,M5,"
GOOD PLASMA F/B CONTROL. SLIDING JOINT ALARMS A BIT LOWER.
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,542.8756103515625,0.13193964395046512,,False,False,False,False,False,False,True
11772,M5,"
LONGER FLAT TOP AS INTENDED. SLIDING JOINT ALARMS LOWER.
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,577.7887573242188,0.19427825889260011,,False,False,False,False,False,False,True
11773,M5,"
SCHEDULER HUNG. RADIUS LOOKS WELL CONTROLLED BUT ADA DALPHA PEAK RADIUS IS BONKERS AROUND 200MS
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,567.3370971679688,0.171526734375,,False,False,False,False,False,False,True
11774,M5,"
LOOKS GOOD ON DATA BUT BLANK PICTURE ON HSV
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,578.5189819335938,0.18877182812499999,,False,False,False,False,False,False,True
11775,M5,"
HSV DOESN'T GET TRIGGER - NOT SURE WHY
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,574.9136352539062,0.24198917200602998,,False,False,False,False,False,False,True
11776,M5,"
FINALLY GOT VISIBLE PLASMA. TOUCHES OUTBOARD COMPONENTS DURING PLASMA CURRENT RAMPDOWN
",COMMISSION TOKAMAK WITH TECHNICAL PLASMA,,,,576.5398559570312,0.241299953125,,False,False,False,False,False,False,True
